name,role,female,genre_cats,cat_span,first_release,songs_no_,charted
Asher D,Artist,0,2,1,1988,0,1
Dizzee Rascal,Artist,0,5,1,2003,0,1
Lethal Bizzle,Artist,0,2,1,2004,0,1
Wiley,Artist,0,4,1,2004,45,1
Treble Clef,DJ,0,1,0,2004,0,0
Shystie,Artist,1,2,1,2004,0,1
Kano,Artist,0,3,1,2005,0,1
Jammer,Artist,0,1,0,2005,42,0
Roll Deep,Crew,0,1,0,2005,15,1
Virus Syndicate,Crew,0,1,0,2004,0,0
Devlin,Artist,0,2,1,2006,14,1
Mercston,Artist,0,1,0,2006,0,0
Sway,Artist,0,1,0,2006,7,1
Skepta,Artist,0,4,1,2007,0,1
Tinchy Stryder,Artist,0,2,1,2007,1,1
Scorcher,Artist,0,2,1,2007,1,0
Chip,Artist,0,4,1,2008,21,1
P Money ,Artist,0,2,1,2008,17,1
JME,Artist,0,3,1,2008,15,1
Tinie Tempah,Artist,0,7,1,2008,1,1
Nu Brand Flexxx,Crew,0,1,0,2008,21,0
Wretch 32,Artist,0,3,1,2008,1,1
Giggs,Artist,0,4,1,2008,18,1
Griminal,Artist,0,1,0,2008,1,0
Lauren Mason,Artist,1,1,0,2008,14,0
BBK,Crew,0,2,1,2009,0,1
Tempa T,Artist,0,1,0,2009,0,0
Flowdan,Artist,0,1,0,2009,0,0
Frisco,Artist,0,3,1,2009,0,1
Newham Generals,Crew,0,1,0,2009,0,0
Badness,Artist,0,1,0,2010,0,0
Bless Beats,DJ,0,1,0,2010,0,0
Ghetts,Artist,0,3,1,2011,0,1
Ice Kid,Artist,0,1,0,2012,0,0
Chronik,Artist,0,1,0,2012,0,0
Blacks,Artist,0,1,0,2013,0,0
Double S,Artist,0,1,0,2015,0,0
Milli Major,Artist,0,1,0,2008,1,0
Bossman Birdie,Artist,0,1,0,2017,0,0
The Streets,Band,0,3,1,2001,11,1
